Region,Product,Month,Revenue,GrowthRate
South,D,2024-07-31,6853,0.29
South,D,2024-08-31,17851,-0.0
South,D,2024-09-30,16649,0.18
South,D,2024-10-31,6636,0.01
South,D,2024-11-30,16344,0.01
South,D,2024-12-31,17289,0.1
East,A,2024-01-31,18877,-0.09
East,A,2024-02-29,10855,0.26
East,A,2024-03-31,16666,0.17
East,A,2024-04-30,10172,0.1
East,A,2024-05-31,10791,0.12
East,A,2024-06-30,19582,0.17
East,A,2024-07-31,5202,0.05
East,A,2024-08-31,17688,0.19
East,A,2024-09-30,7327,0.09
East,A,2024-10-31,12777,0.15
East,A,2024-11-30,6930,0.23
East,A,2024-12-31,11287,0.23
East,B,2024-01-31,14339,0.1
East,B,2024-02-29,7511,-0.08
East,B,2024-03-31,5659,0.03
East,B,2024-04-30,19243,-0.09
East,B,2024-05-31,6986,0.22
East,B,2024-06-30,16411,0.16
East,B,2024-07-31,6843,0.28
East,B,2024-08-31,6959,0.05
East,B,2024-09-30,7385,0.24
East,B,2024-10-31,6802,0.04
East,B,2024-11-30,11616,-0.02
East,B,2024-12-31,10534,0.25
East,C,2024-01-31,18922,-0.01
East,C,2024-02-29,11287,0.23
East,C,2024-03-31,14208,0.11
East,C,2024-04-30,18168,-0.0
East,C,2024-05-31,10423,0.29
East,C,2024-06-30,9548,0.26
East,C,2024-07-31,17282,-0.02
East,C,2024-08-31,12400,0.04
East,C,2024-09-30,7255,0.26
East,C,2024-10-31,11295,0.06
East,C,2024-11-30,14888,0.16
East,C,2024-12-31,17874,0.27
East,D,2024-01-31,10539,0.26
East,D,2024-02-29,17115,0.13
East,D,2024-03-31,16375,-0.06
East,D,2024-04-30,5098,0.29
East,D,2024-05-31,7961,-0.04
East,D,2024-06-30,9433,0.09
East,D,2024-07-31,16426,0.16
East,D,2024-08-31,18992,-0.03
East,D,2024-09-30,10699,-0.01
East,D,2024-10-31,14492,-0.03
East,D,2024-11-30,14719,0.16
East,D,2024-12-31,18446,0.19
West,A,2024-01-31,9735,0.13
West,A,2024-02-29,9555,0.1
West,A,2024-03-31,17757,0.01
West,A,2024-04-30,11893,0.14
West,A,2024-05-31,19565,0.06
West,A,2024-06-30,15677,0.26
West,A,2024-07-31,19362,0.22
West,A,2024-08-31,9893,0.16
West,A,2024-09-30,12022,0.1
West,A,2024-10-31,17740,-0.01
West,A,2024-11-30,14007,0.01
West,A,2024-12-31,9642,0.21
West,B,2024-01-31,12679,-0.03
West,B,2024-02-29,14435,0.09
West,B,2024-03-31,6069,0.27
West,B,2024-04-30,19434,0.2
West,B,2024-05-31,6060,0.27
West,B,2024-06-30,19832,0.12
West,B,2024-07-31,5606,0.29
West,B,2024-08-31,10088,-0.07
West,B,2024-09-30,15492,0.05
West,B,2024-10-31,11102,0.01
West,B,2024-11-30,8394,-0.03
West,B,2024-12-31,6816,0.06
West,C,2024-01-31,11709,0.18
West,C,2024-02-29,6895,-0.07
West,C,2024-03-31,17913,0.15
West,C,2024-04-30,16093,0.04
West,C,2024-05-31,12806,0.11
West,C,2024-06-30,6409,0.03
West,C,2024-07-31,16367,0.18
West,C,2024-08-31,17533,0.04
West,C,2024-09-30,10596,0.02
West,C,2024-10-31,5537,0.22
West,C,2024-11-30,18208,0.14
West,C,2024-12-31,11971,0.1
West,D,2024-01-31,12992,0.15
West,D,2024-02-29,17307,0.16
West,D,2024-03-31,11655,0.06
West,D,2024-04-30,15893,0.26
West,D,2024-05-31,11614,-0.09
West,D,2024-06-30,18121,0.08
West,D,2024-07-31,15174,-0.09
West,D,2024-08-31,16928,-0.04
West,D,2024-09-30,16453,0.01
West,D,2024-10-31,11457,0.24
West,D,2024-11-30,19640,-0.09
West,D,2024-12-31,18125,0.02
